s,x,y,kappa
2.72,1.951904681348225,1.6800257149391937,0.08178735150556746
2.73,1.9599193035243017,1.67404526082811,0.06516618775225594
2.74,1.9679339257002924,1.6680648067169115,0.055855145801835815
2.75,1.9759485478595504,1.662084352583269,0.05145746774906077
2.76,1.9839631668147015,1.656103894151892,0.0496364366326046
2.77,1.9919827153969347,1.6501300502088332,0.04853765352279666
2.78,2.0000124803984884,1.6441699448259437,0.04706222082669633
2.79,2.008050093093933,1.6382204261719706,0.044980588831122784
2.8,2.0160933140759565,1.6322784911592247,0.04287230187655668
2.81,2.0241400112524848,1.626341264263175,0.04188039043954522
2.82,2.032188155940341,1.6204059995660327,0.04329576424432869
2.83,2.0402358195356367,1.6144700826019787,0.048015680997012845
2.84,2.0482811706628223,1.6085310319230504,0.05598086658258897
2.85,2.0563224727895726,1.6025865004177593,0.06575742567260874
2.86,2.064358082293141,1.5966342764111248,0.0743931489507637
2.87,2.0723864472920237,1.590672285013542,0.077627467401494
2.88,2.0804061726688183,1.5846986774649643,0.07047086909816752
2.89,2.0884504840889773,1.5787582660648893,0.04804292435808384
2.9,2.096537721056884,1.5728764031015565,0.006461843781831495
2.91,2.1046536821824646,1.567034223393367,-0.05644342987091332
2.92,2.1127853095140527,1.561213861205368,-0.14077688212952957
2.93,2.1209204381712774,1.555398392171202,-0.24464314736848275
2.94,2.1290476047254603,1.5495718047036158,-0.3645806084653427
2.95,2.137155887029759,1.5437189742504536,-0.49620729816333015
2.96,2.145234772705674,1.5378256443110196,-0.6348975590035184
2.97,2.153274054063031,1.5318784167689528,-0.7763352301356434
2.98,2.161263747753314,1.5258647529288791,-0.9168571752018229
2.99,2.1691940379525465,1.5197729856963542,-1.0535809148721977
3.0,2.177055242276631,1.5135923425250943,-1.184364353842976
3.01,2.184837799903457,1.507312978013365,-1.3076674514177329
3.02,2.192532281478425,1.5009260143330412,-1.4223824353979921
3.03,2.2001294202898247,1.4944235870163023,-1.5276791413936273
3.04,2.2076201639067956,1.4877988930271495,-1.6228886977539028
3.05,2.214995744980877,1.481046237548804,-1.7074318971860682
3.06,2.222247769249217,1.4741610755795123,-1.7807807611202893
3.07,2.229368317995249,1.4671400443104299,-1.8424432883662696
3.08,2.236350061398112,1.459980982416075,-1.8919746947956881
3.09,2.2431863784321173,1.452682932856207,-1.9289977486204135
3.1,2.249871478375558,1.4452461265814078,-1.953215476932531
3.11,2.256400518656909,1.437671945611064,-1.9644254151163245
3.12,2.262769713791704,1.4299628652398897,-1.9625373892115028
3.13,2.2689764305908993,1.422122376513382,-1.9475890651600787
3.14,2.2750192656454282,1.4141548914573248,-1.9197602825233393
3.15,2.280898102252057,1.4060656347142162,-1.8793878842068372
3.16,2.2866141453352906,1.3978605261135353,-1.8269801696644583
3.17,2.292169934400607,1.3895460592061784,-1.7632277990613168
3.18,2.2975693359795617,1.3811291809012032,-1.689004610602141
3.19,2.3028175182661146,1.372617177082759,-1.6053489758990498
3.2,2.307920911598267,1.3640175685285596,-1.5134210102132264
3.21,2.3128871590570594,1.355338020699474,-1.4144285419155198
3.22,2.3177250617281633,1.3465862701342244,-1.3095175186128485
3.23,2.3224445231338664,1.337770069369478,-1.199658489928671
3.24,2.32705649704884,1.3288971516008534,-1.0855716603007297
3.25,2.3315729424810936,1.3199752157901978,-0.9677193582551235
3.26,2.3360067977481194,1.3110119368377993,-0.8463890165643412
3.27,2.340364025249531,1.3020111619383827,-0.7218924812897656
3.28,2.3446472480844025,1.2929749259840615,-0.5948808775800257
3.29,2.3488688127325434,1.2839097121663492,-0.46670661770505195
3.3,2.353041797361025,1.2748220263277381,-0.33974452557422286
3.31,2.3571800470424273,1.2657184656105374,-0.2175780514220058
3.32,2.361298179744786,1.2566057839010598,-0.10494845117025954
3.33,2.3654116015595945,1.2474909739921034,-0.007398583493616868
3.34,2.369536530103584,1.238381367689009,0.06939712052275605
3.35,2.373690023983583,1.229284755326312,0.12054574856069278
3.36,2.3778900151368085,1.2202095264434143,0.1429410761593481
3.37,2.3821553398339526,1.2111648336884495,0.13615327117019985
3.38,2.3865058385175533,1.2021608192067532,0.10298535340643282
3.39,2.3909044680255187,1.193180170039939,0.04952594413466491
3.4,2.3953031422855795,1.184199542848081,-0.015373413567206833
3.41,2.3997018167274455,1.1752189157454702,-0.08114073718987654
3.42,2.404100482473299,1.1662382843663632,-0.1368665533089028
3.43,2.4084713455502995,1.1572441333329806,-0.17276013991538808
3.44,2.412743828674518,1.1482028351208289,-0.1813994447479465
3.45,2.416935315601516,1.1391236845938977,-0.1585361155413363
3.46,2.421067624253648,1.1300174338740478,-0.1033100854283335
3.47,2.425161470614483,1.1208938191462188,-0.01788884352806494
3.48,2.4292365276438765,1.1117617929870487,0.09332548948638836
3.49,2.433311484568227,1.1026297221254502,0.22470965612354574
3.5,2.4374041018233146,1.0935055553660773,0.3704175719200048
3.51,2.441531256782253,1.084396964910496,0.5251693423955281
3.52,2.445708977003705,1.0753114637201928,0.6847171605813727
3.53,2.4499524589369956,1.066256500884149,0.845960120219445
3.54,2.454276070958879,1.0572395362681022,1.0067505707620736
3.55,2.4586933404102744,1.0482680950953223,1.1654841282396335
3.56,2.4632169250366767,1.0393498025865515,1.3205865385708127
3.57,2.4678585699711624,1.0304923984098961,1.4700251593617815
